drugName	Study
mmk-1	Barardo2017
rdp-58	Barardo2017
ro 25-1392	Barardo2017
gv1001	Barardo2017
cardiolipin	Barardo2017
Quinostatin	Donertas2018
CID100005691	Liu2016
CID000002909	Liu2016
CID100001158	Liu2016
CID100000193	Liu2016
CID100001117	Liu2016
CID000000271	Liu2016
CID100000271	Liu2016
CID016404350	Liu2016
CID100119058	Liu2016
CID100440613	Liu2016
CID000092153	Liu2016
CID100000074	Liu2016
CID000445344	Liu2016
CID000446013	Liu2016
CID100000380	Liu2016
CID100000705	Liu2016
CID000165390	Liu2016
CID100000877	Liu2016
CID100001126	Liu2016
CID000439762	Liu2016
CID100001116	Liu2016
CID000439284	Liu2016
CID100000719	Liu2016
CID000066370	Liu2016
CID000018396	Liu2016
CID100000732	Liu2016
CID100000762	Liu2016
CID006450842	Liu2016
CID100000232	Liu2016
CID100023925	Liu2016
CID005459784	Liu2016
CID100000513	Liu2016
CID005318532	Liu2016
CID100000309	Liu2016
CID100000723	Liu2016
CID100000806	Liu2016
CID100000928	Liu2016
CID100000317	Liu2016
CID100001167	Liu2016
CID100000900	Liu2016
CID000445675	Liu2016
CID000440364	Liu2016
CID100000729	Liu2016
CID100000283	Liu2016
CID100000761	Liu2016
CID100000730	Liu2016
CID000023930	Liu2016
CID100023930	Liu2016
CID100001003	Liu2016
CID100001181	Liu2016
CID003001028	Liu2016
CID005280723	Liu2016
CID100000230	Liu2016
CID000077982	Liu2016
CID100000593	Liu2016
CID100000930	Liu2016
CID100023994	Liu2016
CID100000929	Liu2016
CID100000224	Liu2016
CID100439167	Liu2016
CID000151228	Liu2016
CID100151228	Liu2016
CID100000604	Liu2016
CID100001166	Liu2016
CID000644066	Liu2016
CID100000869	Liu2016
CID100000813	Liu2016
CID100001172	Liu2016
CID100000940	Liu2016
CID100001041	Liu2016
CID100000939	Liu2016
CID100002514	Liu2016
CID000002514	Liu2016
CID100000197	Liu2016
CID100000295	Liu2016
CID100000925	Liu2016
CID100000888	Liu2016
CID100023978	Liu2016
CID000023978	Liu2016
CID100000961	Liu2016
CID000000961	Liu2016
CID100000206	Liu2016
CID005280346	Liu2016
CID100000175	Liu2016
CID100000937	Liu2016
CID005311325	Liu2016
CID105280343	Liu2016
CID105311325	Liu2016
CID100000238	Liu2016
CID000000923	Liu2016
CID100000923	Liu2016
CID100000208	Liu2016
CID003626837	Liu2016
CID100001071	Liu2016
CID100000440	Liu2016
CID002921148	Liu2016
CID005284373	Liu2016
CID100129887	Liu2016
CID000440938	Liu2016
CID100440938	Liu2016
CID100002735	Liu2016
CID004605800	Liu2016
CID003654103	Liu2016
CID006604000	Liu2016
CID000439153	Liu2016
CID000023994	Liu2016
CID005702062	Liu2016
CID006603792	Liu2016
CID000005768	Liu2016
CID001547484	Liu2016
